country,iso2,iso3,year,case.type,sex,age.group,prev,prev.lo,prev.hi
Zambia,ZM,ZMB,2014,s,a,15plus,319,232,406
Zambia,ZM,ZMB,2014,s,a,25_34,422,245,599
Zimbabwe,ZW,ZWE,2014,a,a,all,275,217,334
Zimbabwe,ZW,ZWE,2014,b,a,15_24,129,68,245
Zimbabwe,ZW,ZWE,2014,b,a,15plus,344,268,420
Zimbabwe,ZW,ZWE,2014,b,a,25_34,373,255,546
Zimbabwe,ZW,ZWE,2014,b,a,35_44,546,371,804
Zimbabwe,ZW,ZWE,2014,b,a,45_54,310,168,570
Zimbabwe,ZW,ZWE,2014,s,m,15plus,103,43,163
Zimbabwe,ZW,ZWE,2014,s,a,65plus,47,7,341
Zimbabwe,ZW,ZWE,2014,b,a,65plus,547,310,962
Zimbabwe,ZW,ZWE,2014,b,f,15plus,288,189,386
Zimbabwe,ZW,ZWE,2014,b,m,15plus,413,303,523
Zimbabwe,ZW,ZWE,2014,s,a,25_34,138,70,274
Zimbabwe,ZW,ZWE,2014,s,f,15plus,65,27,104
Zimbabwe,ZW,ZWE,2014,b,a,55_64,490,276,869
Zimbabwe,ZW,ZWE,2014,s,a,15_24,52,21,131
Zimbabwe,ZW,ZWE,2014,s,a,15plus,82,47,118
Zimbabwe,ZW,ZWE,2014,s,a,35_44,85,34,215
Zimbabwe,ZW,ZWE,2014,s,a,45_54,75,23,248
Zimbabwe,ZW,ZWE,2014,s,a,55_64,35,5,277
