country,iso2,iso3,year,indicator.id,sex,value,lo,hi,ind
Aruba,AW,ABW,2000,NY.GDP.PCAP.PP.KD,a,41499.63671875,,,gdp
Aruba,AW,ABW,2001,NY.GDP.PCAP.PP.KD,a,39388.3515625,,,gdp
Aruba,AW,ABW,2002,NY.GDP.PCAP.PP.KD,a,37256.66015625,,,gdp
Aruba,AW,ABW,2003,NY.GDP.PCAP.PP.KD,a,37200.05859375,,,gdp
Aruba,AW,ABW,2004,NY.GDP.PCAP.PP.KD,a,39440.66796875,,,gdp
Aruba,AW,ABW,2005,NY.GDP.PCAP.PP.KD,a,39407.19140625,,,gdp
Aruba,AW,ABW,2006,NY.GDP.PCAP.PP.KD,a,39504.46875,,,gdp
Aruba,AW,ABW,2007,NY.GDP.PCAP.PP.KD,a,40058.3125,,,gdp
Aruba,AW,ABW,2008,NY.GDP.PCAP.PP.KD,a,39968.27734375,,,gdp
Aruba,AW,ABW,2009,NY.GDP.PCAP.PP.KD,a,35731.98828125,,,gdp
Aruba,AW,ABW,2010,NY.GDP.PCAP.PP.KD,a,34343.15234375,,,gdp
Aruba,AW,ABW,2011,NY.GDP.PCAP.PP.KD,a,35392.60546875,,,gdp
Aruba,AW,ABW,2012,NY.GDP.PCAP.PP.KD,a,34732.49609375,,,gdp
Aruba,AW,ABW,2013,NY.GDP.PCAP.PP.KD,a,35980.1640625,,,gdp
Aruba,AW,ABW,2014,NY.GDP.PCAP.PP.KD,a,35875.62890625,,,gdp
Aruba,AW,ABW,2015,NY.GDP.PCAP.PP.KD,a,37715.92578125,,,gdp
Aruba,AW,ABW,2016,NY.GDP.PCAP.PP.KD,a,38314.8046875,,,gdp
Aruba,AW,ABW,2017,NY.GDP.PCAP.PP.KD,a,38897.12109375,,,gdp
Afghanistan,AF,AFG,2000,EG.CFT.ACCS.ZS,a,8.80000019073486,,,fuel
Afghanistan,AF,AFG,2000,NCD_GLUC_04,a,8.30000019073486,6,10.6999998092651,diabetes
Afghanistan,AF,AFG,2000,NCD_GLUC_04,f,8.5,5,11.8999996185303,diabetes
Afghanistan,AF,AFG,2000,NCD_GLUC_04,m,8.10000038146973,5,11.5,diabetes
Afghanistan,AF,AFG,2001,EG.CFT.ACCS.ZS,a,9.51000022888184,,,fuel
Afghanistan,AF,AFG,2001,NCD_GLUC_04,a,8.5,6,10.8999996185303,diabetes
Afghanistan,AF,AFG,2001,NCD_GLUC_04,f,8.69999980926514,5,12.1000003814697,diabetes
Afghanistan,AF,AFG,2001,NCD_GLUC_04,m,8.30000019073486,5,11.6999998092651,diabetes
Afghanistan,AF,AFG,2001,SN.ITK.DEFC.ZS,a,47.7999992370606,,,undernutrition
Afghanistan,AF,AFG,2002,EG.CFT.ACCS.ZS,a,10.3900003433228,,,fuel
Afghanistan,AF,AFG,2002,GHED_CHE_pc_PPP_SHA2011,a,77.7900009155274,,,healthexp
Afghanistan,AF,AFG,2002,NCD_GLUC_04,a,8.80000019073486,6,11.1000003814697,diabetes
Afghanistan,AF,AFG,2002,NCD_GLUC_04,f,9,6,12.3000001907349,diabetes
Afghanistan,AF,AFG,2002,NCD_GLUC_04,m,8.60000038146973,5,11.8999996185303,diabetes
Afghanistan,AF,AFG,2002,NY.GDP.PCAP.PP.KD,a,1189.78466796875,,,gdp
Afghanistan,AF,AFG,2002,SN.ITK.DEFC.ZS,a,45.7000007629395,,,undernutrition
Afghanistan,AF,AFG,2003,EG.CFT.ACCS.ZS,a,11.460000038147,,,fuel
Afghanistan,AF,AFG,2003,GHED_CHE_pc_PPP_SHA2011,a,78.9300003051758,,,healthexp
Afghanistan,AF,AFG,2003,NCD_GLUC_04,a,9,7,11.3000001907349,diabetes
Afghanistan,AF,AFG,2003,NCD_GLUC_04,f,9.19999980926514,6,12.6000003814697,diabetes
Afghanistan,AF,AFG,2003,NCD_GLUC_04,m,8.80000019073486,6,12.1999998092651,diabetes
Afghanistan,AF,AFG,2003,NY.GDP.PCAP.PP.KD,a,1235.81005859375,,,gdp
Afghanistan,AF,AFG,2003,SN.ITK.DEFC.ZS,a,40.7000007629395,,,undernutrition
Afghanistan,AF,AFG,2004,EG.CFT.ACCS.ZS,a,12.4300003051758,,,fuel
Afghanistan,AF,AFG,2004,GHED_CHE_pc_PPP_SHA2011,a,85.6399993896484,,,healthexp
Afghanistan,AF,AFG,2004,NCD_GLUC_04,a,9.30000019073486,7,11.6000003814697,diabetes
Afghanistan,AF,AFG,2004,NCD_GLUC_04,f,9.39999961853027,6,12.8999996185303,diabetes
Afghanistan,AF,AFG,2004,NCD_GLUC_04,m,9,6,12.3999996185303,diabetes
Afghanistan,AF,AFG,2004,NY.GDP.PCAP.PP.KD,a,1200.27795410156,,,gdp
Afghanistan,AF,AFG,2004,SN.ITK.DEFC.ZS,a,38.0999984741211,,,undernutrition
Afghanistan,AF,AFG,2005,EG.CFT.ACCS.ZS,a,13.4899997711182,,,fuel
Afghanistan,AF,AFG,2005,GHED_CHE_pc_PPP_SHA2011,a,96.4000015258789,,,healthexp
